,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,263,kodiak,57.79,-152.41,64.4,48,1,18.34,US,1595451522
264,264,sakakah,29.97,40.21,95.0,10,0,4.7,SA,1595451267
265,265,shipitsyno,61.28,46.52,59.9,96,90,5.97,RU,1595451466
266,266,chernyshevskiy,63.01,112.47,48.79,100,79,4.43,RU,1595451612
267,267,san andres,12.58,-81.7,87.8,74,75,11.41,CO,1595451613
268,268,sven,53.18,34.55,51.78,88,0,6.44,RU,1595451614
269,269,luang prabang,19.89,102.13,72.54,87,21,0.78,LA,1595451614
270,270,te anau,-45.42,167.72,33.17,90,67,2.73,NZ,1595451004
271,271,merauke,-8.47,140.33,74.73,82,2,11.99,ID,1595451305
272,272,adrar,20.5,-10.07,102.36,9,36,7.2,MR,1595451269
273,273,kautokeino,69.01,23.04,48.69,88,100,19.33,NO,1595451615
274,274,bangassou,4.74,22.82,69.87,94,100,1.86,CF,1595451615
275,275,grand-santi,4.25,-54.38,78.87,93,97,3.11,GF,1595451269
276,276,shenjiamen,29.96,122.3,79.5,87,89,23.0,CN,1595451498
277,277,sao filipe,14.9,-24.5,78.39,85,99,7.92,CV,1595451211
278,278,marfino,55.7,37.38,62.01,87,47,8.95,RU,1595451616
279,279,katsuyama,36.06,136.5,71.6,94,75,3.36,JP,1595451616
280,280,vardo,70.37,31.11,48.2,100,90,31.09,NO,1595451270
281,281,kuloy,61.03,42.49,58.41,98,93,5.91,RU,1595451617
282,282,pueblo,38.25,-104.61,93.2,23,1,9.17,US,1595451617
283,283,hobyo,5.35,48.53,77.27,75,23,27.11,SO,1595451617
284,284,henties bay,-22.12,14.28,63.0,71,0,8.57,,1595451618
285,285,bowen,-20.02,148.23,63.0,93,90,4.7,AU,1595451493
286,286,zlitan,32.47,14.57,76.62,75,0,10.65,LY,1595451618
287,287,worland,44.02,-107.96,97.0,13,1,8.05,US,1595451619
288,288,kyra,49.58,111.98,61.72,64,99,0.96,RU,1595451481
289,289,dalby,-27.18,151.27,51.01,79,99,1.01,AU,1595451619
290,290,kagadi,0.96,30.8,64.26,94,92,1.95,UG,1595451620
291,291,aksay,47.26,39.87,71.01,56,44,4.47,RU,1595451620
292,292,shimoda,34.67,138.95,70.0,94,100,7.61,JP,1595451273
293,293,mabaruma,8.2,-59.78,81.66,77,57,5.84,GY,1595451620
294,294,asuncion,-25.3,-57.64,89.6,31,100,12.75,PY,1595451621
295,295,pulaski,34.77,-92.3,86.0,78,75,4.7,US,1595451621
296,296,svetlyy,54.67,20.13,51.8,87,40,8.95,RU,1595451621
297,297,la ronge,55.1,-105.28,78.8,57,75,9.17,CA,1595451484
298,298,saquena,-4.67,-73.52,88.83,54,84,1.63,PE,1595451623
299,299,alexandria,31.22,29.96,77.43,82,0,13.04,EG,1595451535
300,300,sabya,17.15,42.63,89.6,62,20,4.7,SA,1595451623
301,301,hay river,60.82,-115.8,64.4,93,75,5.82,CA,1595451276
302,302,kavieng,-2.57,150.8,82.65,76,31,14.29,PG,1595451624
303,303,ponta do sol,32.67,-17.1,69.01,72,2,3.27,PT,1595451039
304,304,paamiut,61.99,-49.67,46.92,83,87,9.08,GL,1595451276
305,305,manuk mangkaw,4.8,119.85,82.35,76,100,6.96,PH,1595451624
306,306,ust-nera,64.57,143.2,75.04,35,96,4.18,RU,1595451625
307,307,kununurra,-15.77,128.73,64.4,40,24,4.7,AU,1595451015
308,308,klyuchi,52.27,79.17,59.36,80,0,3.87,RU,1595451625
309,309,sorland,67.67,12.69,53.6,76,40,12.75,NO,1595451515
310,310,cuenca,-2.88,-78.98,60.8,63,90,4.7,EC,1595451625
311,311,mbandaka,0.05,18.26,74.77,68,100,3.27,CD,1595451523
